Time,Latitude (y),Longitude (x),NO2(t-1),NO2(t-2),NO2(t-3),NO2(t-4),NO2(t-5),NO2(t-6),NO2(t-7),NO2(t-8),NO2(t-9),NO2(t-10),NO2(t-11),NO2(t-12),NO2(t-13),NO2(t-14),NO2(t-15),NO2(t-16),NO2(t-17),NO2(t-18),NO2(t-22),NO2(t-27),NO2(t-28),NO2(t-29),Target_NO2(t)
2021-01-30,-7.023175017792986,112.7650311364311,3.057574842857143e-05,2.9138302714285717e-05,2.7700857e-05,1.966645e-05,2.081989e-05,2.197333e-05,3.3745224e-05,4.5517118e-05,1.3740823e-05,1.4888269888888889e-05,1.6035716777777775e-05,1.7183163666666663e-05,1.8330610555555552e-05,1.9478057444444443e-05,2.062550433333333e-05,2.177295122222222e-05,2.292039811111111e-05,2.4067845e-05,2.865763255555556e-05,3.4394867e-05,3.4394867e-05,3.4394867e-05,3.2013194142857145e-05
2021-01-31,-7.023175017792986,112.7650311364311,3.2013194142857145e-05,3.057574842857143e-05,2.9138302714285717e-05,2.7700857e-05,1.966645e-05,2.081989e-05,2.197333e-05,3.3745224e-05,4.5517118e-05,1.3740823e-05,1.4888269888888889e-05,1.6035716777777775e-05,1.7183163666666663e-05,1.8330610555555552e-05,1.9478057444444443e-05,2.062550433333333e-05,2.177295122222222e-05,2.292039811111111e-05,2.7510185666666665e-05,3.324742011111111e-05,3.4394867e-05,3.4394867e-05,3.3450639857142856e-05
2021-02-01,-7.023175017792986,112.7650311364311,3.3450639857142856e-05,3.2013194142857145e-05,3.057574842857143e-05,2.9138302714285717e-05,2.7700857e-05,1.966645e-05,2.081989e-05,2.197333e-05,3.3745224e-05,4.5517118e-05,1.3740823e-05,1.4888269888888889e-05,1.6035716777777775e-05,1.7183163666666663e-05,1.8330610555555552e-05,1.9478057444444443e-05,2.062550433333333e-05,2.177295122222222e-05,2.6362738777777777e-05,3.2099973222222225e-05,3.324742011111111e-05,3.4394867e-05,3.488808557142857e-05
2021-02-02,-7.023175017792986,112.7650311364311,3.488808557142857e-05,3.3450639857142856e-05,3.2013194142857145e-05,3.057574842857143e-05,2.9138302714285717e-05,2.7700857e-05,1.966645e-05,2.081989e-05,2.197333e-05,3.3745224e-05,4.5517118e-05,1.3740823e-05,1.4888269888888889e-05,1.6035716777777775e-05,1.7183163666666663e-05,1.8330610555555552e-05,1.9478057444444443e-05,2.062550433333333e-05,2.5215291888888888e-05,3.095252633333333e-05,3.2099973222222225e-05,3.324742011111111e-05,3.632553128571429e-05
2021-02-03,-7.023175017792986,112.7650311364311,3.632553128571429e-05,3.488808557142857e-05,3.3450639857142856e-05,3.2013194142857145e-05,3.057574842857143e-05,2.9138302714285717e-05,2.7700857e-05,1.966645e-05,2.081989e-05,2.197333e-05,3.3745224e-05,4.5517118e-05,1.3740823e-05,1.4888269888888889e-05,1.6035716777777775e-05,1.7183163666666663e-05,1.8330610555555552e-05,1.9478057444444443e-05,2.4067845e-05,2.9805079444444445e-05,3.095252633333333e-05,3.2099973222222225e-05,3.7762977e-05
2021-02-04,-7.023175017792986,112.7650311364311,3.7762977e-05,3.632553128571429e-05,3.488808557142857e-05,3.3450639857142856e-05,3.2013194142857145e-05,3.057574842857143e-05,2.9138302714285717e-05,2.7700857e-05,1.966645e-05,2.081989e-05,2.197333e-05,3.3745224e-05,4.5517118e-05,1.3740823e-05,1.4888269888888889e-05,1.6035716777777775e-05,1.7183163666666663e-05,1.8330610555555552e-05,2.292039811111111e-05,2.865763255555556e-05,2.9805079444444445e-05,3.095252633333333e-05,2.98476295e-05
2021-02-05,-7.023175017792986,112.7650311364311,2.98476295e-05,3.7762977e-05,3.632553128571429e-05,3.488808557142857e-05,3.3450639857142856e-05,3.2013194142857145e-05,3.057574842857143e-05,2.9138302714285717e-05,2.7700857e-05,1.966645e-05,2.081989e-05,2.197333e-05,3.3745224e-05,4.5517118e-05,1.3740823e-05,1.4888269888888889e-05,1.6035716777777775e-05,1.7183163666666663e-05,2.177295122222222e-05,2.7510185666666665e-05,2.865763255555556e-05,2.9805079444444445e-05,2.1932282e-05
2021-02-06,-7.023175017792986,112.7650311364311,2.1932282e-05,2.98476295e-05,3.7762977e-05,3.632553128571429e-05,3.488808557142857e-05,3.3450639857142856e-05,3.2013194142857145e-05,3.057574842857143e-05,2.9138302714285717e-05,2.7700857e-05,1.966645e-05,2.081989e-05,2.197333e-05,3.3745224e-05,4.5517118e-05,1.3740823e-05,1.4888269888888889e-05,1.6035716777777775e-05,2.062550433333333e-05,2.6362738777777777e-05,2.7510185666666665e-05,2.865763255555556e-05,1.4016934500000002e-05
2021-02-07,-7.023175017792986,112.7650311364311,1.4016934500000002e-05,2.1932282e-05,2.98476295e-05,3.7762977e-05,3.632553128571429e-05,3.488808557142857e-05,3.3450639857142856e-05,3.2013194142857145e-05,3.057574842857143e-05,2.9138302714285717e-05,2.7700857e-05,1.966645e-05,2.081989e-05,2.197333e-05,3.3745224e-05,4.5517118e-05,1.3740823e-05,1.4888269888888889e-05,1.9478057444444443e-05,2.5215291888888888e-05,2.6362738777777777e-05,2.7510185666666665e-05,6.101587e-06
2021-02-08,-7.023175017792986,112.7650311364311,6.101587e-06,1.4016934500000002e-05,2.1932282e-05,2.98476295e-05,3.7762977e-05,3.632553128571429e-05,3.488808557142857e-05,3.3450639857142856e-05,3.2013194142857145e-05,3.057574842857143e-05,2.9138302714285717e-05,2.7700857e-05,1.966645e-05,2.081989e-05,2.197333e-05,3.3745224e-05,4.5517118e-05,1.3740823e-05,1.8330610555555552e-05,2.4067845e-05,2.5215291888888888e-05,2.6362738777777777e-05,8.573033875e-06
